"New #","Old #","Origin","Domain","Type","Source","Grouping","Code","Description"
"1","3","Academia","Data protection/data management","Capability","Labadie & Legner (2019)","Data identification & classification","Data identification","Locate data records: identify all storage instances of personal data objects and have the ability to access and retrieve them."
"2","4","Academia","Data protection/data management","Capability","Labadie & Legner (2019)","Consent","Consent","Implement consent items: define and implement consent items that mirror data processing activities performed throughout business processes."
"3","6","Academia","Data protection/data management","Capability","Labadie & Legner (2019)","Consent","Consent","Distribute consent: ensure consent items updates in all affected processing systems."
"4","7","Academia","Data protection/data management","Capability","Labadie & Legner (2019)","Consent","Consent","Enforce consent-based processing: ensure that data processing activities are performed in accordance with consent expressed by individuals."
"5","9","Academia","Data protection/data management","Capability","Labadie & Legner (2019)","Technology","Technology","Pseudonymize data: use pseudonymization techniques in order to adhere to the principle of minimization."
"6","10","Academia","Data protection/data management","Capability","Labadie & Legner (2019)","Data transmission & transfer","Data transmission & transfer","Transmit data in standardized form: transmit personal data to external parties using standard formats and set up communication channels with other organizations."
"7","12","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Security activities","Security","Repair security and privacy issues."
"8","13","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Data identification & classification","Data identification & classification","All personal information is identified and classified by automated classification tools or integrated classification process."
"9","15","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Risk management","Residual risks","Formulate residual risk management plans."
"10","16","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Data identification & classification","Data identification classification","Dynamically adjusting data catalogue, including data classification, storage medium and calling relationship."
"11","18","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Risk management","Risk identification","Identify data risks automatically, and provide early warnings for high-risk operations."
"12","21","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Awareness & training","Employee awareness","Quantifying corporate privacy awareness, and formulating an evaluation system for employee privacy awareness."
"13","23","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Security activities","Security measures","Enforcing the implementation of major data security technical measures, such as encryption, DLP, Iam, etc"
"14","24","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Roles & responsibilities","Roles & responsibilities","Setting up a first-class technical team."
"15","25","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Technology","Technical governance","Implementing comprehensive data privacy technical governance."
"16","26","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Technology","Technology","Connecting with emerging data privacy protection technologies."
"17","27","Academia","Data privacy maturity","Capability","Yaqiong et al. (2020)","Technology","Technology upgrade","Continuously monitoring, optimizing, and upgrading data privacy protection technology."
"18","29","Industry","Information Governance Process Maturity","Capability","CGOC (2019)","Materials & resources","Law catalogue","An up-to-date and accurate catalogue of privacy laws and policies by country is readily accessible to all relevant employees."
"19","30","Industry","Information Governance Process Maturity","Capability","CGOC (2019)","Privacy policy","Privacy policy","Policy communications are routine and semi-automated."
