"New #","Old #","Origin","Domain","Type","Source","Grouping","Code","Description","Implemented when","Responsible actor"
"1","1","Academia","GDPR compliance verification","Measure","Chhetri et al. (2022)","Security","Security activities","In order to adhere to the purpose limitation principle, role concepts with graduated access rights on the basis of identity management and a secure authentication process are implemented.","N/A","N/A"
"2","2","Academia","GDPR compliance verification","Measure","Chhetri et al. (2022)","Data processing principles","Storage limitation","In order to adhere to the storage limitation principle, the data syntax are documented.","N/A","N/A"
"3","3","Academia","GDPR compliance verification","Measure","Chhetri et al. (2022)","Lawfulness, fairness, and transparency","Consent","In order to adhere to the lawfulness, fairness, and transparency principle, consents, their revocations and objections are documented.","N/A","N/A"
"4","6","Academia","GDPR compliance verification","Measure","Chhetri et al. (2022)","Security","Security activities","In order to adhere to the integrity and confidentiality, and accountability principle, data are protected against external influences.","N/A","N/A"
"5","8","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","Privacy-by-design","PbD processes","Privacy-by-design is integrated into business processes/workflows.","N/A","Business analyst"
"6","9","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","Data management","Data management","Information systems are identified and kept in an inventory.","N/A","Business analyst"
"7","12","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","Processing activity","Data identification & classification","Assets that contain personal data are identified and kept in an inventory. ","N/A","Security/privacy expert"
"8","15","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","Security","Security activities","Existing security mechanisms are identified and kept in an inventory.","N/A","Security/privacy expert"
"9","20","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","PIA/DPIA","PIA component","Risk source capabilities are described.","N/A","Security/privacy expert or business analyst"
"10","21","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","PIA/DPIA","PIA component","Feared events are identified.","N/A","Security/privacy expert or business analyst"
"11","26","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","PIA/DPIA","PIA component","Risk levels are identified.","N/A","Security/privacy expert or business analyst"
"12","27","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","PIA/DPIA","PIA component","Business processes with critical assets that concentrate high risk for potential privacy breaches are identified.","N/A","Business analyst"
"13","30","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","PIA/DPIA","PIA component","The processing activities are identified.","During DPIA process","Analyst"
"14","33","Academia","Business process redesign","Practice","Diamantopoulou & Karyda (2022)","PIA/DPIA","PIA component","Mitigation measures are identified in terms of applicable privacy patterns.","During DPIA process","Analyst"
"15","37","Academia","Privacy/data protection-by-design","Practice","Pedroza et al. (2021)","PIA/DPIA","PIA component","The risks of personal data being linked with external data sources are identified.","During design phase","N/A"
"16","38","Academia","Privacy/data protection-by-design","Practice","Pedroza et al. (2021)","Data management","Data management","The data structures are modelled in a data-oriented model.","During design phase","N/A"
"17","40","Academia","Privacy/data protection-by-design","Practice","Pedroza et al. (2021)","System engineering","Architecture","The data flows are mapped over the architecture in an architecture model.","During architecture design","N/A"
"18","42","Academia","DPIA","Practice","Timón López (2021)","Privacy-by-design","Requirements","Privacy requirements are formulated before the design stage.","During the requirements stage","N/A"
"19","43","Academia","DPIA","Practice","Timón López (2021)","System engineering","Architecture","Architecture design is based on the privacy requirements.","During architecture design","N/A"
"20","44","Academia","DPIA","Practice","Timón López (2021)","System engineering","Architecture","The architecture is validated to confirm that privacy requirements are correctly implemented.","During architecture design","N/A"
"21","45","Academia","DPIA","Practice","Timón López (2021)","PIA/DPIA","PIA component","The DPIA describes the scope of study.","During DPIA process","N/A"
"22","46","Academia","DPIA","Practice","Timón López (2021)","PIA/DPIA","PIA component","The DPIA describes the technology characteristics of the technological proposal.","During DPIA process","N/A"
"23","48","Academia","DPIA","Recommendation","Timón López (2021)","PIA/DPIA","PIA report","The DPIA contains graphical representations of the architecture design.","During DPIA process","N/A"
"24","49","Academia","DPIA","Practice","Timón López (2021)","PIA/DPIA","PIA process & support","The DPIA is understandable for technical and non-technical experts.","During DPIA process","N/A"
"25","53","Academia","DPIA","Practice","Timón López (2021)","PIA/DPIA","PIA component","The DPIA describes the risks by multiplying the likelihood and the impact.","During DPIA process","N/A"
"26","54","Academia","DPIA","Practice","Timón López (2021)","PIA/DPIA","PIA component","The DPIA classifies each threat according to a level of risk.","During DPIA process","N/A"
"27","57","Academia","DPIA","Recommendation","Timón López (2021)","PIA/DPIA","PIA component","The DPIA evaluates whether the measures can achieve the proposed processing objective.","During DPIA process","N/A"
"28","58","Academia","DPIA","Recommendation","Timón López (2021)","PIA/DPIA","PIA component","The DPIA evaluates whether more moderate measure can achieve the proposed processing objective with the same effectiveness.","During DPIA process","N/A"
"29","59","Academia","DPIA","Recommendation","Timón López (2021)","PIA/DPIA","PIA component","The DPIA evaluates whether the measures imply more benefits than damages for other assets or values.","During DPIA process","N/A"
"30","60","Academia","Privacy-by-design","Practice","Drev & Delak (2021)","System engineering","System development","Designs are reviewed for adherence to the basic principles of the GDPR.","N/A","N/A"
"31","63","Academia","Privacy-by-design","Practice","Drev & Delak (2021)","Lawfulness, fairness, and transparency","Transparency","The transparency of data processing is ensured.","N/A","N/A"
"32","65","Academia","Privacy-by-design","Practice","Drev & Delak (2021)","Privacy-by-design","Privacy-by-design","Organisational and technical measures for data protection are implemented.","N/A","N/A"
"33","67","Academia","Privacy-by-design","Practice","Drev & Delak (2021)","Security","Security activities","Security audit measures are implemented.","N/A","N/A"
"34","70","Academia","Privacy-by-design in IS","Practice","Arfaoui et al. (2020)","Organisational privacy awareness","Stakeholders","Stakeholders are identified.","N/A","N/A"
"35","74","Academia","Privacy-by-design in IS","Practice","Arfaoui et al. (2020)","Threat management","Threat management","Threat remediation strategies are determined.","N/A","N/A"
