"MLR","#","Description","Origin","Focus area","Usage","Maturity"
"1","1","Locate data records: identify all storage instances of personal data objects and have the ability to access and retrieve them.","Academic","Asset inventory","False","N/A"
"1","2","Implement consent items: define and implement consent items that mirror data processing activities performed throughout business processes.","Academic","Subject rights","True","1"
"1","3","Distribute consent: ensure consent items updates in all affected processing systems.","Academic","Subject rights","True","3"
"1","4","All personal information is identified and classified by automated classification tools or integrated classification process.","Academic","Asset inventory","False","N/A"
"1","5","Identify data risks automatically, and provide early warnings for high-risk operations.","Academic","Risk management","True","4"
"1","6","Continuously monitoring, optimizing, and upgrading data privacy protection technology.","Academic","Technology","True","4"
"1","7","Policy communications are routine and semi-automated.","Grey","Transparency","True","2"
"1","8","Privacy by Design is incorporated into design specifications and architecture of new systems and processes.","Grey","Architecture","True","1"
"1","9","Advanced analytics used to predict the use and misuse of data.","Grey","Risk management","True","4"
"1","10","A formal change management process is in place to ensure that updates to Privacy Notices and Data protection notices are considered for every project undertaken. Formally ensures updated notices are provided in a timely manner to impacted data subjects and that any changes impacting existing data collection is proactively communicated.","Grey","Development","True","3"
"1","11","Consent management and related notices and related policies and procedures are defined and implemented.","Grey","Subject rights","True","1"
"1","12","Documented procedures exist and are consistently and uniformly applied to ensure that appropriate safeguards are in place prior to transferring personal data outside of the EEA.","Grey","Third-party","True","2"
"1","13","Compliance with purpose limitation policies and procedures is proactively managed to deliver deliberate process optimisation. Issues of non-compliance are identified, and remedial action taken to ensure compliance in a timely fashion.","Grey","Processing principles","True","4"
"1","14","Compliance with data minimisation procedures is proactively managed to deliver deliberate process optimisation. Issues of non-compliance are identified, and remedial action taken to ensure compliance in a timely fashion.","Grey","Processing principles","True","4"
"1","15","Compliance with data accuracy procedures is proactively managed to deliver deliberate process optimisation. Issues of non-compliance are identified, and remedial action taken to ensure compliance in a timely fashion.","Grey","Processing principles","True","4"
"1","16","Compliance with Storage Limitation procedures is proactively managed to deliver deliberate process optimisation. Issues of non-compliance are identified, and remedial action taken to ensure compliance in a timely fashion.","Grey","Processing principles","True","4"
"1","17","Change management policies and procedures are defined and implemented and consider the impact of any changes to personal data processing activities, commit the organisation to involve the appropriate personnel and to evaluate and address data protection risks as appropriate.","Grey","Development","True","3"
"1","18","The approach to data protection by design is continually reviewed and updated based on both internal review and external developments in best practice.","Grey","Monitoring","True","3"
